"time","Time","HSShftTq","GenTq","Wind1VelX","RtVAvgxh","BldPitch1","NacYaw","RefGenSpd","GenSpeed","RotSpeed","LSSGagPxa","Azimuth","GenAccel","YawBrTAxp","YawBrTAyp"
0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
1.0000000000000000E-002,0.0000000000000000E+000,-3.1832314562052488E-012,0.0000000000000000E+000,1.1000000000000000E+001,1.0890989577138063E+001,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,7.5499999999999998E+000,7.5499999999999998E+000,0.0000000000000000E+000,0.0000000000000000E+000,-6.3178329918362180E-003,-7.5979877212093760E-001,-7.3873374918225721E-003
2.0000000000000000E-002,1.0000000000000000E-002,3.0720890167447800E+002,1.1215514843750000E+002,1.1000000000000000E+001,1.0829685708822101E+001,1.0000000000000000E+000,0.0000000000000000E+000,7.5607029457725714E+000,7.5583802622837704E+000,7.5975353774607877E+000,4.5317096580839256E-001,4.5442979150159557E-001,9.5669446137830061E+000,1.1235068710099352E+000,-1.8692082726164773E-002
2.9999999999999999E-002,2.0000000000000000E-002,5.9691159292300847E+002,2.2431029687500001E+002,1.1000000000000000E+001,1.0770470306624031E+001,9.9999997676089991E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.5707413581318361E+000,7.6432451262054935E+000,9.0702806498397204E-001,9.1166368157279776E-001,8.0998236984544167E+000,1.0812547696780299E+000,-2.8543854326589853E-002
4.0000000000000001E-002,2.9999999999999999E-002,8.2246475034444120E+002,3.3646543750000001E+002,1.1000000000000000E+001,1.0713435265843652E+001,9.4000009651431726E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.5931896923039250E+000,7.6877077229263282E+000,1.3619163965568100E+000,1.3716002645827943E+000,1.5131100752055218E+001,1.1399190835652844E+000,-3.3831899641617993E-002
5.0000000000000003E-002,5.0000000000000003E-002,1.1686048649764800E+003,5.6077575000000002E+002,1.1000000000000000E+001,1.0601794961466092E+001,1.0399999279107550E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.6511027269226188E+000,7.7707001488589009E+000,2.2764389853913829E+000,2.2992011274313713E+000,1.8921387580524691E+001,1.1379515579496682E+000,-4.5541950601037169E-002
6.0000000000000005E-002,5.0000000000000003E-002,1.1686048649764800E+003,5.6077575000000002E+002,1.1000000000000000E+001,1.0601794961466092E+001,1.0399999279107550E+000,0.0000000000000000E+000,5.0038313060796220E+000,7.6511027269226188E+000,7.7707001488589009E+000,2.2764389853913829E+000,2.2992011274313713E+000,1.8921387580524691E+001,1.1379515579496682E+000,-4.5541950601037169E-002
7.0000000000000007E-002,7.0000000000000007E-002,1.4044383412216894E+003,7.8508600000000001E+002,1.1000000000000000E+001,1.0506834654728836E+001,9.6000005659651144E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.7155381296262053E+000,7.8424058700787578E+000,3.1984250877303957E+000,3.2361102614679957E+000,1.9270831102985035E+001,1.1597347450014617E+000,-5.7244282272510535E-002
8.0000000000000002E-002,7.0000000000000007E-002,1.4044383412216894E+003,7.8508600000000001E+002,1.1000000000000000E+001,1.0506834654728836E+001,9.6000005659651144E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.7155381296262053E+000,7.8424058700787578E+000,3.1984250877303957E+000,3.2361102614679957E+000,1.9270831102985035E+001,1.1597347450014617E+000,-5.7244282272510535E-002
8.9999999999999997E-002,8.0000000000000002E-002,1.4918520394691520E+003,8.9724118750000002E+002,1.1000000000000000E+001,1.0464653773404159E+001,9.3999976860283307E-001,0.0000000000000000E+000,5.0038313060796220E+000,7.7470757154887346E+000,7.8732594524974431E+000,3.6623122851332752E+000,3.7075982130026035E+000,1.8494416972010796E+001,1.1782931422113891E+000,-6.2670607127039604E-002
